first_name,last_name,email
Christopher,Carr,Christopher.Carr@univ-paris-diderot.fr
Penelope,Jones,Penelope.Jones@univ-paris-diderot.fr
Richard,Paige,Richard.Paige@univ-paris-diderot.fr
Katherine,Stewart,Katherine.Stewart@univ-paris-diderot.fr
Caroline,Mackenzie,Caroline.Mackenzie@univ-paris-diderot.fr
Vanessa,Manning,Vanessa.Manning@univ-paris-diderot.fr
Penelope,Hodges,Penelope.Hodges@univ-paris-diderot.fr
Adrian,Wallace,Adrian.Wallace@univ-paris-diderot.fr
Gabrielle,Stewart,Gabrielle.Stewart@univ-paris-diderot.fr
Cameron,Johnston,Cameron.Johnston@univ-paris-diderot.fr
Sebastian,White,Sebastian.White@univ-paris-diderot.fr
Heather,Hughes,Heather.Hughes@univ-paris-diderot.fr
Evan,Gibson,Evan.Gibson@univ-paris-diderot.fr
Brian,Hart,Brian.Hart@univ-paris-diderot.fr
Grace,Lewis,Grace.Lewis@univ-paris-diderot.fr
Dominic,Gray,Dominic.Gray@univ-paris-diderot.fr
Pippa,Baker,Pippa.Baker@univ-paris-diderot.fr
Nicola,Short,Nicola.Short@univ-paris-diderot.fr
Molly,MacDonald,Molly.MacDonald@univ-paris-diderot.fr
Anne,Sutherland,Anne.Sutherland@univ-paris-diderot.fr
Charles,Ferguson,Charles.Ferguson@univ-paris-diderot.fr
Benjamin,Glover,Benjamin.Glover@univ-paris-diderot.fr
Samantha,Quinn,Samantha.Quinn@univ-paris-diderot.fr
Julia,MacLeod,Julia.MacLeod@univ-paris-diderot.fr
Amanda,Glover,Amanda.Glover@univ-paris-diderot.fr
Dan,Sutherland,Dan.Sutherland@univ-paris-diderot.fr
Wanda,Stewart,Wanda.Stewart@univ-paris-diderot.fr
Richard,Lambert,Richard.Lambert@univ-paris-diderot.fr
Sean,Taylor,Sean.Taylor@univ-paris-diderot.fr
Lily,Mills,Lily.Mills@univ-paris-diderot.fr
Grace,Manning,Grace.Manning@univ-paris-diderot.fr
Rose,Hunter,Rose.Hunter@univ-paris-diderot.fr
Nicola,Fisher,Nicola.Fisher@univ-paris-diderot.fr
Thomas,Paige,Thomas.Paige@univ-paris-diderot.fr
Joan,Nolan,Joan.Nolan@univ-paris-diderot.fr
Sonia,Mackenzie,Sonia.Mackenzie@univ-paris-diderot.fr
Adrian,Lawrence,Adrian.Lawrence@univ-paris-diderot.fr
Lauren,Cameron,Lauren.Cameron@univ-paris-diderot.fr
Diana,Wallace,Diana.Wallace@univ-paris-diderot.fr
Brian,Pullman,Brian.Pullman@univ-paris-diderot.fr
Jessica,Duncan,Jessica.Duncan@univ-paris-diderot.fr
Peter,Peake,Peter.Peake@univ-paris-diderot.fr
Olivia,Scott,Olivia.Scott@univ-paris-diderot.fr
Edward,Cornish,Edward.Cornish@univ-paris-diderot.fr
Emma,Murray,Emma.Murray@univ-paris-diderot.fr
James,Tucker,James.Tucker@univ-paris-diderot.fr
Abigail,Graham,Abigail.Graham@univ-paris-diderot.fr
Amy,Tucker,Amy.Tucker@univ-paris-diderot.fr
Robert,Mackenzie,Robert.Mackenzie@univ-paris-diderot.fr
